"title","address","rating","reviews","phone","gps_coordinates"
"Hunter & Barrel Yas Bay","The Pier, Yas Bay Waterfront, Yas Bay - Shop PR 110, Yas Island - Abu Dhabi, United Arab Emirates",4.8,1000,"+971 2 886 8299","24.4572848, 54.6005098"
"Café del Mar Beach Club Abu Dhabi","Yas Bay Waterfront, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.7,1900,"+971 50 402 2283","24.4579196, 54.6017236"
"Al Fanar Restaurant & Cafe - Yas Mall","The Fountains, Yas Mall, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.9,10345,"+971 2 877 2272","24.4860559, 54.6077027"
"The Lighthouse Restaurant & Bar, Yas Bay Waterfront","Yas Bay Waterfront, near Hilton Hotel, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.5,627,"+971 2 236 7831","24.4584101, 54.600878699999996"
"Paradiso","The Pier, Yas Bay Waterfront, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.5,802,"+971 50 437 2869","24.4570778, 54.600218399999996"
"Asia Asia Abu Dhabi","The Pier, Yas Bay Waterfront, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.1,648,"+971 4 423 8302","24.457994499999998, 54.6001927"
"Bushra by Buddha-Bar","The Pier, Yas Bay Waterfront, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.6,1070,"+971 50 601 1195","24.4568013, 54.6005696"
"Ishtar Yas Marina","Yas Marina Circuit, Yas Island - Yas Marina - Abu Dhabi, United Arab Emirates",4.7,547,"+971 50 402 2293","24.465194999999998, 54.608503"
"Daikan Izakaya","The Pier, Yas Bay Waterfront, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.3,1001,"+971 58 124 1529","24.457385799999997, 54.600514399999994"
"Diablito | Yas Marina","Diablito Building 6A Yas Marina - Yas Island, Abu Dhabi, United Arab Emirates",4.5,768,"+971 2 565 1175","24.4656636, 54.6091504"
"PENELOPE RESTAURANT","Yas Island - Yas Marina - Abu Dhabi, United Arab Emirates",4.6,350,"+971 50 204 2475","24.466368, 54.6094819"
"Asha's","Yas Mall, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.8,5426,"+971 2 492 6680","24.4888196, 54.6086898"
"The Directors' Club","Yas Island - YS4 - Abu Dhabi, United Arab Emirates",4.7,160,"+971 2 692 7770","24.4901597, 54.598633199999995"
"Graphos Social Kitchen","Yas Bay, Yas Island - Abu Dhabi, United Arab Emirates",4.5,110,"+971 2 208 6900","24.4590078, 54.6009506"
"Cipriani Yas Island","Building 1 Yas Marina, Yas Island, Abu Dhabi, United Arab Emirates",4.2,844,"+971 2 657 5400","24.4667198, 54.6094839"
"Off The Hook Seafood Restaurant - Yas Mall","FJP5+G5G, Yas Leisure Dr, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.6,263,"+971 800 684","24.486279, 54.6078122"
"Bosporus Turkish Cuisine - The Fountains (Yas Mall) - مطعم بوسبورس النوافير (ياس","The Fountains, Yas Mall, Unit Wg01, Yas Island - Abu Dhabi, United Arab Emirates",4.9,4122,"+971 2 667 2022","24.4855901, 54.6077406"
"Yas Bay","Yas Bay Waterfront, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.7,1500,"+971 800 927229","24.4580558, 54.599131"
"Barbossa Abu Dhabi","Yas Bay waterfront, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.4,1026,"+971 50 185 8068","24.457210099999998, 54.6004071"
"Sidekicks","Yas Bay, Yas Island - Abu Dhabi, United Arab Emirates",4.9,1181,"+971 2 692 7760","24.490598, 54.5980254"
"The Brunch Room By Morsel","Yas Mall, Fashion Avenue - 1st Floor, Yas Island - Abu Dhabi, United Arab Emirates",4.7,790,"+971 2 585 6233","24.4866016, 54.608103799999995"
"Bosporus Turkish Cuisine - The Fountains (Yas Mall) - مطعم بوسبورس النوافير (ياس","The Fountains, Yas Mall, Unit Wg01, Yas Island - Abu Dhabi, United Arab Emirates",4.9,4122,"+971 2 667 2022","24.4855901, 54.6077406"
"Lock, Stock and Barrel","Yas Bay Waterfront, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.1,1431,"+971 4 423 8308","24.4588866, 54.6027248"
"Off The Hook Seafood Restaurant - Yas Mall","FJP5+G5G, Yas Leisure Dr, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.6,263,"+971 800 684","24.486279, 54.6078122"
"Barbossa Abu Dhabi","Yas Bay waterfront, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.4,1026,"+971 50 185 8068","24.457210099999998, 54.6004071"
"Maxzi The Good Food Shop - Yas Mall","Huna Yas, Food Hall Ground floor, unit no. G 004 Yas Mall, Yas Island - YS6 - Abu Dhabi, United Arab Emirates",4.8,2615,"+971 56 996 6540","24.495838499999998, 54.6040121"
"Zeera by Buddha-Bar","The Pier, Yas Bay Waterfront, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.6,798,"+971 50 601 1193","24.456753799999998, 54.6003824"
"L'ETO","level G, street 1 Sheikh Khalifa Bin Zayed Al Nahyan Hwy, Yas Island - Yas Mall - Abu Dhabi, United Arab Emirates",4.9,3278,"+971 2 491 1283","24.487995299999998, 54.6074008"
"Rainforest Cafe Restaurant, Abu Dhabi","The Fountains, Yas Mall, WG-03, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.3,386,"+971 2 566 1999","24.486256599999997, 54.6074864"
"NURI Grill & Bar","Hilton, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.9,1031,"+971 54 211 5151","24.4590238, 54.6021053"
"Cipriani Yas Island","Building 1 Yas Marina, Yas Island, Abu Dhabi, United Arab Emirates",4.2,844,"+971 2 657 5400","24.4667198, 54.6094839"
"EL&N London - Yas Bay Waterfront","FJ53+QG, Yas Bay Waterfront, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.7,1074,"+971 2 883 9395","24.4594375, 54.6038125"
"The Directors' Club","Yas Island - YS4 - Abu Dhabi, United Arab Emirates",4.7,160,"+971 2 692 7770","24.4901597, 54.598633199999995"
"Asha's","Yas Mall, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.8,5426,"+971 2 492 6680","24.4888196, 54.6086898"
"McCafferty’s Irish Bar","Hilton, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.6,497,"+971 58 598 3623","24.4595344, 54.601115199999995"
"Bua Thai Cafe","Yas Bay, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.9,211,"+971 2 575 3158","24.4584135, 54.6010937"
"Karaz Restaurant The Fountains (Yas Mall) - مطعم كرز النوافير (ياس مول )","The Fountains at Yas Mall, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.7,692,"+971 2 584 5984","24.4855509, 54.609069299999994"
"Yas Bay Waterfront","Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.6,1908,"No contact info","24.4580465, 54.5991523"
"Sticky Rice Yas Mall","FJQ5+CPV, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.7,2513,"+971 2 563 9908","24.4885423, 54.6092995"
"Central","Yas Bay Waterfront, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.1,672,"+971 4 423 8311","24.4589391, 54.6024494"
"Mika | Yas Marina","Building 2A, Yas Marina - Abu Dhabi, United Arab Emirates",4.5,183,"+971 56 433 1422","24.465764399999998, 54.6093658"
"Stills Restaurant & Bar","Crowne Plaza Hotel Yas Island, Yas Island - Yas Plaza - Abu Dhabi, United Arab Emirates",4.2,458,"+971 2 656 3066","24.465236599999997, 54.5973243"
"Stars N Bars","Emporium Bldg,Yas Marina Circuit, Yas Marina, Abu Dhabi, United Arab Emirates",4.3,2779,"+971 2 565 0101","24.465934999999998, 54.609576999999994"
"HC","Unnamed Road, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.7,304,"No contact info","24.4866393, 54.608209099999996"
"Belgian Café Yas Island","Radisson Blu Hotel, Abu Dhabi, United Arab Emirates",4.3,998,"+971 2 656 2406","24.467004499999998, 54.5980074"
"Garage Restaurant","W Abu Dhabi, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.2,276,"+971 2 656 0000","24.4672724, 54.605874799999995"
"Filini Garden","Radisson Blue, Yas Island - YS3 06 - Abu Dhabi, United Arab Emirates",4.1,766,"+971 2 656 2000","24.466872199999997, 54.597285"
"Blue Grill","Yas Island - YS3 06 - Abu Dhabi, United Arab Emirates",4.3,253,"+971 2 656 4171","24.4661655, 54.599147699999996"
"NOWHERE","West Entrance, Gate 20 Yas Leisure Dr, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.6,1279,"+971 56 300 0533","24.4740485, 54.6025943"
"Dickey's Barbecue Pit - Yas Mall","Opposite Vox Cinema, Level 1, Yas Mall, Abu Dhabi, United Arab Emirates",4.6,913,"+971 2 566 6633","24.4893561, 54.6098485"
"Hanar Restaurant - Meze Bar Grill","Yas Dr, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.7,104,"+971 2 639 0017","24.459776899999998, 54.604827199999995"
"Vapiano Yas Mall","Yas Mall, Yas Leisure Dr, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.4,784,"+971 2 562 3979","24.4892197, 54.608968499999996"
"Amerigos Mexican Bar & Restaurant","G Floor,Park Inn, Yas Island - Yas Plaza - Abu Dhabi, United Arab Emirates",4.1,725,"+971 55 594 2695","24.467905299999998, 54.5981227"
"ADRIFT Burger Bar","Yas Mall, ADRIFT Burger Bar, L1-059A, Abu Dhabi, United Arab Emirates",4.6,395,"+971 2 666 6650","24.487318899999998, 54.608387799999996"
"Avobar","Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.7,444,"+971 2 442 0127","24.4885436, 54.609170899999995"
"Hilton Abu Dhabi Yas Island","Yas Bay, Yas Island - Abu Dhabi, United Arab Emirates",4.8,16318,"+971 2 208 6888","24.4593842, 54.6011045"
"Villa Sélène​","Yas Links, Yas Island - YS3 06 - Abu Dhabi, United Arab Emirates",4.7,103,"+971 54 990 4246","24.4781782, 54.5997152"
"Gazebo - Yas Mall","Level 1, Yas Mall, Yas Island - Abu Dhabi, United Arab Emirates",4.3,442,"+971 2 448 2127","24.4903098, 54.607933499999994"
"Taqado Mexican Kitchen (Yas Mall)","1st Floor Food Court, Yas Mall, Yas Island - Abu Dhabi, United Arab Emirates",4.5,311,"+971 2 645 0285","24.4881492, 54.6091282"
"Choices","Yas Island - Yas Plaza - Abu Dhabi, United Arab Emirates",4.1,127,"+971 2 656 4000","24.4664942, 54.5991989"
"SLRP Ramen by 3Fils","Yas Food Hall, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.7,376,"+971 54 599 4575","24.4897444, 54.6097921"
"Entrecôte Café de Paris🇨🇭","Yas Mall - Level 1 - Unit 161, Yas Island - Yas West - Abu Dhabi, United Arab Emirates",4.5,231,"+971 56 303 3808","24.4881747, 54.608866799999994"
"Dandana Gourmet Restaurant-مطعم دندنة غورميه","Al Zeina Block A, Abu Dhabi, United Arab Emirates",4.6,2708,"+971 50 309 0032","24.4530948, 54.612740699999996"
"La brioche yas water edge","FJJ9+9M, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.7,219,"+971 2 643 9050","24.480763399999997, 54.619213099999996"
"Wontoneria","Yas Mall, Huna - YS1 - Abu Dhabi, United Arab Emirates",4.7,137,"+971 50 607 6187","24.489604, 54.609838599999996"
"Y bar","Yas Island Plaza, Abu Dhabi, United Arab Emirates",4.2,442,"+971 2 656 4000","24.4664154, 54.599128699999994"
"Iris Yas Island","FJ85+XG8, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.1,1203,"+971 55 160 5636","24.467205099999997, 54.609182"
"La brioche yas water edge","FJJ9+9M, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.7,219,"+971 2 643 9050","24.480763399999997, 54.619213099999996"
"Iris Yas Island","FJ85+XG8, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.1,1203,"+971 55 160 5636","24.467205099999997, 54.609182"
"Jing Asia","G Floor,Crowne Plaza, Yas Island - Yas Plaza - Abu Dhabi, United Arab Emirates",4.2,276,"+971 2 656 3000","24.4659118, 54.5975112"
"Y bar","Yas Island Plaza, Abu Dhabi, United Arab Emirates",4.2,442,"+971 2 656 4000","24.4664154, 54.599128699999994"
"Yas Food Hall","Yas Mall, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.3,108,"+971 2 641 7724","24.4898198, 54.609883499999995"
"TIKI Pacifico | Dining & Lounge","Al Rahah - Al Bandar - Abu Dhabi, United Arab Emirates",4.3,1592,"+971 50 696 9298","24.4518733, 54.6005823"
"Antonia trattoria","FJ47+6V Al Zeina Complex, Block C, Abu Dhabi, United Arab Emirates",4.9,2807,"+971 2 622 0480","24.4555625, 54.614687499999995"
"Sugar & Salt Station Yas Mall","Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.3,162,"+971 2 563 8344","24.4873185, 54.6076292"
"Shish Shawerma Yas Mall","Yas Mall, Yas Island - Abu Dhabi, United Arab Emirates",4.5,414,"+971 2 551 7060","24.4895867, 54.608515999999995"
"Dandana Gourmet Restaurant-مطعم دندنة غورميه","Al Zeina Block A, Abu Dhabi, United Arab Emirates",4.6,2708,"+971 50 309 0032","24.4530948, 54.612740699999996"
"AcaiXpress - Yas Mall","Yas Mall, Al Maha St, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.6,207,"+971 2 444 4280","24.489896599999998, 54.6086581"
"Boo Burgers","Yas Mall First Floor Food Court, Cinema Parking, L1-091a, Yas Island - Abu Dhabi, United Arab Emirates",4.5,252,"+971 2 671 0007","24.490351999999998, 54.6077671"
"Hilton Abu Dhabi Yas Island","Yas Bay, Yas Island - Abu Dhabi, United Arab Emirates",4.8,16318,"+971 2 208 6888","24.4593842, 54.6011045"
"Akiba Dori - Yas Bay","The Pier, Yas Bay Waterfront, Ground Floor, Unit No B111, Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.6,858,"+971 4 770 7949","24.4574754, 54.600182499999995"
"Tacoville Yas Mall","Yas Mall, Yas Island - YS1 - Abu Dhabi, United Arab Emirates",4.8,118,"+971 58 272 8052","24.4898584, 54.6095938"
"Emmy Squared Pizza - Yas Bay","Yas Island - YS2 - Abu Dhabi, United Arab Emirates",4.2,396,"+971 2 235 8763","24.4585981, 54.601741"
